userName,score,at,content
Roma Fifia Julianti Girsang,5,2026-04-29 13:20:54,good apps
Fadhli Zon,4,2026-04-29 13:10:34,Mantap
melyana ekawati,5,2026-04-29 13:05:12,terimakasih BPJS kesehatan
Aman Longok,5,2026-04-29 13:03:15,ok
Anggel Tumonglo,4,2026-04-29 12:54:01,"mau isi tanggal kunjungan yang muncul cuma sampai tanggal 6 saja , padahal tanggal kunjungan ke RS tgl 8 . kok bisa begitu"
Malik Alfauzan,5,2026-04-29 12:50:48,"APK MNYT, GUA SMUA DATA UDH BENER SUKA TBTB LOGOUT SNDIRI TERUS PAS MAU LOGIN LAGI TULISAN NYA AKUN ANDA BELUM TERDAFTAR TAPI PAS DAFTAR TULISAN NYA AKUN ANDA TELAH TERDAFTAR MAUNYA APASI MONYET DEVELOP NYA GABENER NI ANJWNG"
elky yulanda,5,2026-04-29 12:50:26,memudahkan
Epep Fire,2,2026-04-29 12:47:41,"bobrok, kode otp gapernah masuk"
Rizka Nudy,5,2026-04-29 12:46:42,Alhamdulillah.. mudah mengoperasikannya
Vicky Putra,5,2026-04-29 12:46:00,mantap
iyai qodir,5,2026-04-29 12:42:48,apk ny good
Aripin Aripin,5,2026-04-29 12:05:09,"apk jkn yg sangat sangat membatu, terbaik"
Wawan Garmawan,5,2026-04-29 11:59:09,saat ini apl sy sedang error
Dyen Syarifudin,5,2026-04-29 11:56:07,oke
Imam Hidayat,5,2026-04-29 11:53:47,bagus
Rangga Leonard,1,2026-04-29 11:53:23,"JKN Mobile saya mengalami root terus, sudah update dan dimatikan ulang HP-nya, tetap saja tidak bisa login"
Neneng Ida,5,2026-04-29 11:49:50,Terimakasih untuk semuanya ..layanan JKN memuaskan dan sangat membantu bagi kami
Alfin Ma'ruf Prasetyo,5,2026-04-29 11:47:50,kenapa ngga bisa kirim otp
Julianti Putri,5,2026-04-29 11:40:20,pelayanan bagus
Dhebora Duhita,5,2026-04-29 11:35:05,jadi lebih mudah pindah faskes
